1	69.7-18.9 74.5-19 69.5-25.5 70.4-31.1 67.3-14.4 62.9-6.5 63.7-9.6 63.5-12.9 60.4-5.3 58.9-5.6 60-10.7 
2	68.4-22.5 67-17.7 63.2-14.5 67.4-26.7 65-25.5 64.3-27.7 63.1-21.8 62.2-25.7 69-33.1 67.1-32.3 64.5-40.5 63.9-38.1 61.7-30.7 61.8-34.3 61-36.5 67.6-53 67.1-59.4 66.5-66.7 65.4-52.3 65.1-57.1 63.9-65.1 62.7-56.2 62.4-60.9 61.7-50.8 61.3-73.5 60.4-56.5 60.7-60.5 61-69 60-30.3 54.8-32.1 59.3-39.9 55.8-49.2 55.8-37.6 59.6-65.7 58.5-58.9 58-56.2 58.2-68.3 56.8-53.5 56.7-57.8 56.8-60.6 56.9-74.4 56.1-63.7 55.5-65.4 55-73.4 54.7-55.8 58.3-83 55.3-78.4 51.3-51.3 50.3-57.2 
3	59.4-13.5 59.3-18.1 57.8-14.1 57.7-18.3 61.1-28.2 60.5-22.3 54.5-9.6 53.6-10 54.2-12.1 54.1-13.5 52.5-9.7 52.1-11.6 52.4-13.1 52.5-13.4 52.2-14.1 51.4-7 51.4-5.1 51.3-9.4 51.8-10.6 51.3-12.4 51.1-13.8 51.2-15 51-11 50.4-13 53.4-14.6 53.1-23.2 52.4-16.9 52.2-21 51.1-16.9 50-20 47.4-19.2 47.5-21.6 59.4-24.8 56.5-21 54.9-23.8 54.6-25.1 53.9-27.5 52.1-23.7 52.3-29.8 50.6-26.1 50.4-30.5 50-32.9 49.8-24 46.5-30.6 45-34 49.9-36.3 
4	80.6-58.1 79.5-77 77.5-82.2 77.7-104 73.5-80.4 72-102 68.5-112 66.3-114 62.2-118 
5	69.4-86.2 65.8-87.9 64.9-77.8 61.6-90 61.7-96.4 60.4-77.9 64.3-100 61.3-108 60.3-102 58.5-92.2 58.4-97.5 56.5-84.9 56-92.8 54.9-99 53.7-91.7 59.5-113 57.8-108 57.9-114 57.3-102 56.9-118 55.8-110 55.1-117 54.8-105 54.6-113 53.4-109 53.6-110 52.3-104 52.1-113 51.8-108 50.4-106 49.6-112 50.4-117 48.8-103.6 48.9-106.1 48.1-114.5 46.3-102.8 46.5-108.2 47.3-110.7 45.8-106.3 44.9-110.1 49.2-119.8 
6	68.7-124 67.6-133 66.8-123 63.8-122 60.4-120 60.8-125 62-130 60.4-134 56.8-125 53.8-120 54-124 58.6-125 50.3-128 50.9-132 47.7-131 45.9-134 
7	61.3-73.5 61-69 55.8-49.2 59.6-65.7 58.2-68.3 56.8-53.5 56.7-57.8 56.8-60.6 56.9-74.4 56.1-63.7 55.5-65.4 55-73.4 54.7-55.8 58.3-83 55.3-78.4 53.4-83.5 51.8-68.4 51.3-51.3 51.2-71.4 50.3-57.2 49.8-73.1 49.1-51.9 49.1-54.7 47.1-51.9 50.4-80.3 
8	58.2-68.3 56.9-74.4 55.5-65.4 55-73.4 58.3-83 55.3-78.4 53.4-83.5 51.8-68.4 51.3-51.3 51.2-71.4 50.3-57.2 49.8-73.1 48.3-69.7 46.8-75.1 50.4-80.3 
9	54.7-129 53.1-133 53.2-141 52.4-130 52.4-137 49.4-130 48.5-135 
10	44-146 44-144.3 43.1-141.3 43.3-145.6 42.2-142.8 41.8-140.8 39.7-140.1 38.3-140.9 37.9-139.1 35.7-140.9 35.7-139.8 
11	58.2-68.3 56.9-74.4 55.5-65.4 55-73.4 58.3-83 55.3-78.4 51.3-51.3 50.3-57.2 49.1-51.9 49.1-54.7 47.1-51.9 46.8-61.7 45.5-56.1 44.6-50.3 
12	53.4-83.5 51.8-68.4 51.2-71.4 49.8-73.1 48.3-69.7 46.8-75.1 45.8-62.1 50.4-80.3 44.2-80.1 43.2-76.9 42.9-74.5 44-81.3 
13	49.1-51.9 49.1-54.7 47.1-51.9 46.8-61.7 45.5-56.1 44.6-50.3 43-59.8 
14	48.3-69.7 46.8-75.1 45.8-62.1 44.2-80.1 43.2-76.9 43.3-68.2 42.9-74.5 41.7-64.6 41.3-69.3 47.3-110.7 44.9-110.1 49.2-119.8 43.8-87.6 44-81.3 47.7-88.1 
15	45.8-62.1 44.2-80.1 43.2-76.9 43.3-68.2 42.9-74.5 41.7-64.6 41.3-69.3 39.1-63.6 39-56.2 38-58.3 43.8-87.6 44-81.3 47.7-88.1 
16	56.9-118 55.1-117 53.6-110 51.8-108 49.6-112 50.4-117 45.8-62.1 44.2-80.1 43.2-76.9 42.9-74.5 48.1-114.5 46.3-102.8 46.5-108.2 47.3-110.7 45.8-106.3 44.9-110.1 43.7-111.9 49.2-119.8 44-81.3 
17	37.8-128.9 36-129.4 34.7-127.7 33.5-126.5 34.2-129.3 32.7-129.9 
18	37.4-136.9 38-138.3 36.6-136.7 36.4-139.1 35.2-137 34.6-138.2 33.1-139.8 34.7-135.5 33.5-135.8 33.6-130.4 33.2-131.6 31.6-130.6 31.9-131.4 28.4-129.5 24.3-124.2 24.8-125.3 26.2-127.7 25.8-131.2 
